,Character,Actor,Role,Episode_Debut,Original_Air_Date
119,Waylon Smithers,Harry Shearer,Mr. Burns's personal assistant.,"""Simpsons Roasting on an Open Fire""",1989-12-17
120,Snake Jailbird,Hank Azaria,Recidivist.,"""The War of the Simpsons""",1991-05-02
121,Snowball II,Frank Welker,The Simpson family's pet cats.,"""Simpsons Roasting on an Open Fire""",1989-12-17
122,Roy Snyder,Harry Shearer,Springfield judge.,"""Krusty Gets Busted""",1990-04-29
123,Jebediah Springfield,Harry Shearer,Founder of Springfield; local hero.,"""The Telltale Head""",1990-02-25
124,Cletus Spuckler,Hank Azaria,Slack-Jawed Yokel.,"""Bart Gets an Elephant""",1994-03-31
125,Brandine Spuckler,Tress MacNeille,Cletus Spuckler's wife and sister.,"""Scenes from the Class Struggle in Springfield""",1996-02-04
126,Squeaky-Voiced Teen,Dan Castellaneta,Service industry.,"""Dog of Death""",1991-02-14
127,Moe Szyslak,Hank Azaria,Owner of Moe's Tavern.,"""Simpsons Roasting on an Open Fire""",1989-12-17
128,Drederick Tatum,Hank Azaria,"Professional boxer, a caricature of Mike Tyson.","""Homer vs. Lisa and the 8th Commandment""",1991-02-07
129,Allison Taylor,"Winona Ryder, Pamela Hayden",Student at Springfield Elementary School.,"""Lisa's Rival""",1994-09-11
130,Mr. Teeny,Dan Castellaneta,The Krusty the Clown Show trained monkey.,"""Like Father, Like Clown""",1991-10-24
131,Cecil Terwilliger,David Hyde Pierce,Sideshow Bob's younger brother.,"""Brother from Another Series""",1997-02-23
132,Johnny Tightlips,Hank Azaria,One of Fat Tony's henchmen.,"""Insane Clown Poppy""",2000-11-12
133,Üter Zörker,Russi Taylor,Student at Springfield Elementary School.,"""Treehouse of Horror IV""",1993-10-28
134,Kirk Van Houten,Hank Azaria,Milhouse Van Houten's father; factory worker.,"""Bart's Friend Falls in Love""",1992-05-07
135,Luann Van Houten,Maggie Roswell,Kirk Van Houten's wife; Milhouse's mother.,"""Homer Defined""",1991-10-17
136,Milhouse Van Houten,Pamela Hayden,Bart Simpson's best friend; Student at Springfield Elementary School.,"""Simpsons Roasting on an Open Fire""",1989-12-17
137,Dr. Velimirovic,Hank Azaria,Plastic surgeon.,"""Pygmoelian""",2000-02-27
138,Police Chief Clancy Wiggum,Hank Azaria,Springfield Chief of Police.,"""Homer's Odyssey""",1990-01-21
139,Ralph Wiggum,Nancy Cartwright,Son of Police Chief Clancy Wiggum.,"""Simpsons Roasting on an Open Fire""",1989-12-17
140,Sarah Wiggum,Pamela Hayden,Chief Wiggum's wife; Ralph Wiggum's mother.,"""Duffless""",1993-02-18
141,Groundskeeper Willie,Dan Castellaneta,Janitor of Springfield Elementary School.,"""Principal Charming""",1991-02-14
142,Raphael,Hank Azaria,Service industry.,"""The Way We Was""",1991-01-31
143,Rainier Wolfcastle (McBain),Harry Shearer,Actor; star of McBain films.,"""The Way We Was""",1991-01-31
144,The Yes Guy[11],Dan Castellaneta,Service industry.,"""Mayored to the Mob""",1998-12-20
145,Artie Ziff,"Jon Lovitz, Dan Castellaneta",Former billionaire and Marge's prom date.,"""The Way We Was""",1991-01-31
146,Kearney Zzyzwicz,Nancy Cartwright,Springfield Elementary School bully.,"""The Telltale Head""",1990-02-25
